year,rate,Norm
1973,47.468,0.359606061
1962,47.466,0.359590909
1992,47.464,0.359575758
1983,47.453,0.359492424
1968,47.452,0.359484848
1963,47.448,0.359454545
1971,47.446,0.359439394
1964,47.442,0.359409091
1965,47.441,0.359401515
1983,47.439,0.359386364
1969,47.438,0.359378788
1992,47.434,0.359348485
1977,47.433,0.359340909
1971,47.431,0.359325758
1966,47.428,0.35930303
1968,47.428,0.35930303
1988,47.428,0.35930303
1974,47.416,0.359212121
1973,47.414,0.35919697
1986,47.413,0.359189394
1989,47.402,0.359106061
1965,47.40007768,0.359091498
1974,47.4,0.359090909
1966,47.399,0.359083333
1967,47.396,0.359060606
1992,47.39,0.359015152
1969,47.385,0.358977273
1963,47.377,0.358916667
1962,47.376,0.358909091
1970,47.368,0.358848485
1977,47.362,0.35880303
1968,47.355,0.35875
1965,47.352,0.358727273
1962,47.345,0.358674242
1968,47.343,0.358659091
1972,47.336,0.358606061
2003,47.328,0.358545455
1960,47.326,0.358530303
1980,47.318,0.358469697
1973,47.308,0.358393939
1985,47.305,0.358371212
1975,47.304,0.358363636
1961,47.302,0.358348485
1980,47.297,0.358310606
1978,47.292,0.358272727
2007,47.289,0.35825
1967,47.286,0.358227273
1974,47.285,0.358219697
1972,47.28,0.358181818
1969,47.278,0.358166667
1969,47.274,0.358136364
1970,47.269,0.358098485
1963,47.268,0.358090909
1983,47.264,0.358060606
1960,47.258,0.358015152
1993,47.248,0.357939394
1997,47.248,0.357939394
1973,47.245,0.357916667
1982,47.245,0.357916667
1978,47.241,0.357886364
1961,47.238,0.357863636
1963,47.231,0.357810606
1988,47.23,0.35780303
1970,47.227,0.357780303
1962,47.226,0.357772727
1970,47.22209852,0.357743171
1970,47.222,0.357742424
1985,47.222,0.357742424
1971,47.22,0.357727273
2004,47.22,0.357727273
1962,47.215,0.357689394
1969,47.214,0.357681818
1970,47.2139541,0.35768147
2008,47.212,0.357666667
1962,47.208,0.357636364
1984,47.208,0.357636364
1969,47.208,0.357636364
1986,47.203,0.357598485
1978,47.198,0.357560606
1970,47.197,0.35755303
1970,47.195,0.357537879
1963,47.189,0.357492424
1993,47.183,0.35744697
1972,47.175,0.357386364
1979,47.174,0.357378788
1974,47.169,0.357340909
1983,47.167,0.357325758
1963,47.165,0.357310606
1964,47.165,0.357310606
1968,47.158,0.357257576
1989,47.155,0.357234848
2004,47.154,0.357227273
1973,47.153,0.357219697
1961,47.152,0.357212121
1975,47.14306717,0.357144448
1972,47.143,0.357143939
